Date,Open,High,Low,Close,Volume
2012-01-03,26.480155522037,26.958008544419,26.393457520098,26.758628490253,64732993.128199
2012-01-04,26.821877471199,27.470718219629,26.779542481949,27.396315109777,80517477.770043
2012-01-05,27.387569258705,27.734234514996,27.291111393974,27.68099889977,56081888.669569
2012-01-06,27.565908569711,28.188511764921,27.525094598038,28.09965898808,99457556.945664
2012-01-09,28.047437384573,28.09965898808,27.722066374373,27.742853614604,59707361.393325
2012-01-10,27.902433708816,28.14668378153,27.752993731789,27.839438230799,60003777.326122
2012-01-11,27.429523993561,27.981780125795,27.368810041911,27.723207137556,65582844.378346
2012-01-12,27.841973260095,28.022847600398,27.651339057001,28.000285839659,49373960.351861
2012-01-13,27.933614569162,28.2541690237,27.793680951998,28.2541690237,60199568.655766
2012-01-17,28.397778433344,28.64811257637,28.173808595002,28.257844816179,72384953.983807
2012-01-18,28.270266459732,28.402594989007,27.969485233707,28.231987517356,64844005.224904
2012-01-19,28.137937930457,28.442521700427,28.027790907526,28.117911199015,74026994.58658
2012-01-20,28.8087066823,29.73982294289,28.749133493834,29.7116841177,165888849.53557
2012-01-23,29.552864532276,29.949089611313,29.350062188559,29.727401299338,76078485.791474
2012-01-24,29.482390717835,29.57162374907,29.1776801964,29.341316337487,47299918.754671
2012-01-25,29.078940805303,29.647294373569,29.071462468878,29.562751146532,59233958.240516
2012-01-26,29.618521791055,29.70040323733,29.39949525984,29.502163946347,49103555.155247
2012-01-27,29.44259075788,29.534612321342,29.170201859976,29.230789060161,44189472.661962
2012-01-30,28.983243449362,29.618521791055,28.831141691574,29.60736766215,51107193.616717
2012-01-31,29.661870792024,29.705346544458,29.230789060161,29.534612321342,50576371.695124
2012-02-01,29.777087873548,30.050617534636,29.759596171403,29.893318966791,67588244.513488
2012-02-02,29.939076245592,30.16951040864,29.7116841177,29.949089611313,52224639.139872
2012-02-03,30.143526358352,30.399817820224,30.089023228478,30.236181679137,37769590.509697
2012-02-06,30.067982485317,30.21653520209,29.964173035627,30.196888725042,28039774.732089
2012-02-07,30.089023228478,30.489050851459,30.04808250534,30.348863731365,39242328.699118
2012-02-08,30.277375905205,30.669671688832,30.21653520209,30.659785074576,49660386.197548
