Date,Open,High,Low,Close,Volume
2012-01-03,409.87117169792,412.49299142689,409.01716958088,411.24687938841,10791938.011744
2012-01-04,410.100456313,414.6562419257,409.27968385032,413.44003657614,9290704.0699096
2012-01-05,414.91211026427,418.55740334751,412.65249376782,418.05895853211,9677902.2291436
2012-01-06,419.79354648968,422.80415317466,419.23196533101,422.45191883845,11368473.680539
2012-01-09,425.45920255799,427.715496089,421.39521582981,421.78732575126,14065177.474999
2012-01-10,425.85463544487,425.92109475359,421.52481148182,423.30259799005,9221244.4247678
2012-01-11,422.71111014245,422.87061248338,419.33165429409,422.61142117937,7682628.661667
2012-01-12,422.31900022101,422.9370717921,418.75013534279,421.42512251874,7592653.3652752
2012-01-13,419.72708718096,420.451493646,418.65044637971,419.82677614404,8073631.0434377
2012-01-17,424.17986086514,425.92109475359,423.00353110082,424.61184637182,8671317.8801739
2012-01-18,426.90136955719,429.4899596318,426.24674536631,429.09120377949,9875185.1719352
2012-01-19,430.17449051161,431.35082027594,426.47270701595,427.715496089,9338902.6452746
2012-01-20,427.46295071587,427.49285740479,419.76031683532,420.321897994,14767746.805013
2012-01-23,422.67788048809,428.44322551948,422.35222987537,427.39649140715,10918304.327643
2012-01-24,425.06709263654,425.06709263654,419.5642618746,420.41826399164,19409470.710145
2012-01-25,454.41220040147,454.44543005583,443.73218949031,446.64643017764,34215947.620084
2012-01-26,448.44747744393,448.77645102209,443.14070164271,444.65265091607,11571579.163581
2012-01-27,444.26054099462,448.51061378721,443.79864879903,447.2711476796,10704051.692844
2012-01-30,445.76252137168,453.92040151695,445.40364110459,452.96671043683,13532350.205464
2012-01-31,455.78126216108,458.23693361825,453.03316974555,456.50566862612,13995565.2252
2012-02-01,458.43298857897,458.99456973765,455.55530051144,456.20992470232,9626773.2290759
2012-02-02,455.91418077852,457.19352247136,453.98686082566,455.1266379702,6668067.4316521
2012-02-03,457.29321143444,459.98481343756,455.5885301658,459.6558398594,10239898.956462
2012-02-06,458.36985223569,464.99252234955,458.20370396389,463.96904899527,8913423.8892509
2012-02-07,465.28162034248,469.74103995753,464.59376649723,468.8139326009,11281528.689516
2012-02-08,470.44883159539,476.77908075088,469.67458064881,476.6793917878,14551305.402338
2012-02-09,480.70350293075,496.78665564077,480.50412500459,493.15133145384,31542026.698771
2012-02-10,490.99140392046,497.63401182694,488.5922228757,493.41384572328,22531865.540898
2012-02-13,499.76403267139,503.7947897452,497.10898328806,502.61513701544,18461804.45821
2012-02-14,504.47599765957,509.55348884571,501.99041951348,509.45379988263,16463944.706747
2012-02-15,514.23554714497,526.25803609226,496.94948094713,497.69714817022,53740911.376243
2012-02-16,491.47987983955,504.87475351189,486.63499623393,502.1864744742,33719760.033491
2012-02-17,503.13684258888,507.78899419922,500.34887458811,502.08678551112,19120264.030592
2012-02-21,507.06458773418,514.82703499257,504.08721070356,514.82703499257,21591409.445212
2012-02-22,513.06254034608,515.48498214889,509.06833589206,513.02931069172,17246795.130604
2012-02-23,515.05964257309,517.84096464298,509.48702953699,516.36889095486,20279032.177362
2012-02-24,519.51573922271,522.94503955261,518.62518448587,522.4632095644,14826080.213451
