time,open,high,low,close,tick_volume,spread,real_volume
2024-07-22 00:00:00,1.08829,1.08849,1.08829,1.0884,28,36,0
2024-07-22 00:15:00,1.0884,1.08857,1.0884,1.08853,41,36,0
2024-07-22 00:30:00,1.08853,1.08853,1.08827,1.08829,279,15,0
2024-07-22 00:45:00,1.08829,1.0885,1.08817,1.08842,421,15,0
2024-07-22 01:00:00,1.08843,1.08887,1.08843,1.08877,332,10,0
2024-07-22 01:15:00,1.08877,1.08932,1.08877,1.08932,185,10,0
2024-07-22 01:30:00,1.08932,1.08993,1.08932,1.08993,258,10,0
2024-07-22 01:45:00,1.08993,1.08999,1.08981,1.08993,345,10,0
2024-07-22 02:00:00,1.08993,1.08998,1.08978,1.08993,618,10,0
2024-07-22 02:15:00,1.08993,1.09019,1.0899,1.0901399999999999,504,10,0
2024-07-22 02:30:00,1.0901399999999999,1.09023,1.08984,1.09,320,10,0
2024-07-22 02:45:00,1.08999,1.09013,1.08981,1.08983,442,10,0
2024-07-22 03:00:00,1.08983,1.08993,1.08922,1.08956,749,10,0
2024-07-22 03:15:00,1.08956,1.08957,1.0893,1.08936,581,10,0
2024-07-22 03:30:00,1.08936,1.08943,1.0892,1.08927,376,10,0
2024-07-22 03:45:00,1.08926,1.08949,1.08919,1.08934,417,10,0
2024-07-22 04:00:00,1.08934,1.08944,1.08891,1.08905,392,10,0
2024-07-22 04:15:00,1.08905,1.08928,1.089,1.08923,330,10,0
2024-07-22 04:30:00,1.08923,1.08932,1.0892,1.08932,458,10,0
2024-07-22 04:45:00,1.08932,1.08932,1.08842,1.08862,640,10,0
2024-07-22 05:00:00,1.08858,1.08875,1.08841,1.08871,560,10,0
2024-07-22 05:15:00,1.08871,1.08893,1.08854,1.0889199999999999,505,10,0
2024-07-22 05:30:00,1.08891,1.08905,1.08883,1.08903,371,10,0
2024-07-22 05:45:00,1.08903,1.08948,1.08903,1.08923,367,10,0
2024-07-22 06:00:00,1.08922,1.08933,1.0891,1.0892,416,10,0
2024-07-22 06:15:00,1.0892,1.0893,1.08916,1.08922,243,10,0
2024-07-22 06:30:00,1.08921,1.08933,1.08911,1.08921,307,10,0
2024-07-22 06:45:00,1.0892,1.08921,1.08902,1.08911,281,10,0
2024-07-22 07:00:00,1.08911,1.08922,1.08888,1.08897,399,10,0
2024-07-22 07:15:00,1.08898,1.08912,1.08897,1.08907,327,10,0
2024-07-22 07:30:00,1.08908,1.08908,1.08884,1.0889199999999999,281,10,0
2024-07-22 07:45:00,1.0889199999999999,1.08893,1.08865,1.0887,250,10,0
2024-07-22 08:00:00,1.0887,1.08872,1.08842,1.08845,329,10,0
2024-07-22 08:15:00,1.08845,1.08852,1.08833,1.08847,407,10,0
2024-07-22 08:30:00,1.08847,1.0886,1.08825,1.08827,351,10,0
2024-07-22 08:45:00,1.08827,1.0884800000000001,1.0882,1.08842,466,10,0
2024-07-22 09:00:00,1.08839,1.08888,1.08825,1.08867,1030,10,0
2024-07-22 09:15:00,1.08867,1.08868,1.08802,1.08828,993,10,0
2024-07-22 09:30:00,1.08828,1.08898,1.08814,1.08869,1139,10,0
2024-07-22 09:45:00,1.08868,1.08868,1.08783,1.08805,1168,10,0
2024-07-22 10:00:00,1.08806,1.08856,1.08799,1.08832,1467,10,0
2024-07-22 10:15:00,1.08832,1.08876,1.08806,1.08866,1240,10,0
2024-07-22 10:30:00,1.08866,1.08873,1.08829,1.08857,1031,10,0
2024-07-22 10:45:00,1.08858,1.08875,1.08833,1.08867,831,10,0
2024-07-22 11:00:00,1.08868,1.08915,1.08853,1.08912,828,10,0
2024-07-22 11:15:00,1.08912,1.08914,1.08868,1.0889199999999999,779,10,0
2024-07-22 11:30:00,1.0889199999999999,1.08921,1.08861,1.08872,717,10,0
2024-07-22 11:45:00,1.08872,1.089,1.08844,1.08875,803,10,0
2024-07-22 12:00:00,1.08875,1.08914,1.08865,1.08903,768,10,0
2024-07-22 12:15:00,1.08904,1.08926,1.08895,1.08925,610,10,0
2024-07-22 12:30:00,1.08925,1.08939,1.08906,1.08922,532,10,0
2024-07-22 12:45:00,1.08923,1.08949,1.08912,1.08913,679,10,0
2024-07-22 13:00:00,1.08913,1.08913,1.0884800000000001,1.0887,824,10,0
2024-07-22 13:15:00,1.0887,1.08924,1.08869,1.0889,601,10,0
2024-07-22 13:30:00,1.0889,1.08915,1.08867,1.0891,674,10,0
2024-07-22 13:45:00,1.0891,1.0892,1.08884,1.08889,641,10,0
2024-07-22 14:00:00,1.08889,1.08908,1.08837,1.08846,643,10,0
2024-07-22 14:15:00,1.08847,1.08861,1.08841,1.08849,625,10,0
2024-07-22 14:30:00,1.08849,1.08876,1.08849,1.08856,581,10,0
2024-07-22 14:45:00,1.08855,1.08874,1.08834,1.08851,834,10,0
2024-07-22 15:00:00,1.08852,1.0888,1.0883099999999999,1.08834,894,10,0
2024-07-22 15:15:00,1.08834,1.08881,1.08834,1.08854,961,10,0
2024-07-22 15:30:00,1.08855,1.08857,1.08795,1.08795,1097,10,0
2024-07-22 15:45:00,1.08795,1.08795,1.08746,1.08777,1159,10,0
2024-07-22 16:00:00,1.08776,1.08783,1.08749,1.08761,932,10,0
2024-07-22 16:15:00,1.08761,1.08819,1.08759,1.08796,923,10,0
2024-07-22 16:30:00,1.08796,1.08858,1.08793,1.08833,1207,10,0
2024-07-22 16:45:00,1.08833,1.08841,1.0878700000000001,1.088,1100,10,0
2024-07-22 17:00:00,1.088,1.08819,1.08758,1.08765,1233,10,0
2024-07-22 17:15:00,1.08765,1.0878700000000001,1.0872600000000001,1.08784,1142,10,0
2024-07-22 17:30:00,1.08785,1.08824,1.08777,1.08822,928,10,0
2024-07-22 17:45:00,1.08822,1.08852,1.08799,1.0884,1082,10,0
2024-07-22 18:00:00,1.08841,1.08858,1.08825,1.08842,980,10,0
2024-07-22 18:15:00,1.08842,1.08845,1.08812,1.08816,832,10,0
2024-07-22 18:30:00,1.08814,1.08824,1.08783,1.08786,1032,10,0
2024-07-22 18:45:00,1.08785,1.08803,1.08761,1.08794,1081,10,0
2024-07-22 19:00:00,1.08793,1.08826,1.08784,1.08826,930,10,0
2024-07-22 19:15:00,1.08828,1.08843,1.08821,1.08826,667,10,0
2024-07-22 19:30:00,1.08827,1.08858,1.08817,1.08842,652,10,0
2024-07-22 19:45:00,1.08844,1.08864,1.08833,1.08858,514,10,0
2024-07-22 20:00:00,1.08858,1.0891,1.08858,1.08908,640,10,0
2024-07-22 20:15:00,1.08908,1.08913,1.08875,1.08886,585,10,0
2024-07-22 20:30:00,1.08887,1.08898,1.0887,1.08887,521,10,0
2024-07-22 20:45:00,1.08887,1.08907,1.08886,1.08897,428,10,0
